"UID","parkName","panoramaID","panoramaDate","year","direction"
"-Rb00PGgRLYMO0Afplfpkw","Hillcrest-Park","F3cWMnXM7rRLyIsS5Xxr0A","May 2017","2017",272
"-Re6CygopWsZr6dOZhxpZw","Foster-Park","LRIScM6jRQ4VUe2Nqq7Exw","Aug 2017","2017",289
"-Rjch6HE7j99CyMEDGHFbA","Strathcona-Park","9Em_4hEc9owul7XJXI5PUw","May 2017","2017",138
"-RrryJHoJVWtdNeIpU0yGw","Nelson-Park","1ldtAInMom9wVEwIqE9pqw","May 2017","2017",323
"-RrryJHoJVWtdNeIpU0yGw","Nelson-Park","LUYMRV8t9O0-HpivORU0zA","Jun 2017","2017",323
"-Sfo6kcBIamc22HZTQlt1Q","Nelson-Park","A_-9tUo1aR4LLuI7iNL_VQ","May 2017","2017",346
"-Sw-5ijUFZiF1IZZfjdsug","Emery-Barnes-Park","xoOuAa4t4OqPsoYYPAQOqA","Jun 2017","2017",77
"-TT9zHv-1wuqIOxHcuCb7A","Hillcrest-Park","XmZX0lS2XU0dwK8yR8N2_A","May 2017","2017",340
"-TXM3Y_66ZOoJf00Bvx-GA","Nelson-Park","-2DY74OnOEHtrC-R7oENCA","May 2017","2017",195
"-UEHRyER4ptngJl9cARigQ","Foster-Park","YlkuRFkrGoAxPDEuiXU_0Q","Jun 2017","2017",86
"-VQiCzQ6pyIql_pbiDNbsA","Mount-Pleasant-Park","7EJd8iw-x1e7lSCWQYo70A","Jun 2017","2017",2
"-Vz-N565eNxWZV3kVslrJQ","Memorial-South-Park","9XpHAlXcMGEW8wCOZIX3OQ","May 2017","2017",91
"-WILMtNFFJPzU446iZ12jg","Nelson-Park","ZpY4_Ujg41WhvJFlSKqyeA","May 2017","2017",135
"-WxIB7kP2E10V7x6ZMNAjA","Hillcrest-Park","UwgHgwECA-DGGkcq9KWXjA","May 2017","2017",101
"-Yj-3vRSbfpSxDwSA5SO5A","Emery-Barnes-Park","tfBYK6MnCF_jVVUz1k98_g","Jun 2017","2017",167
"-ZGXPDDYvuXFuRnVo7MZCw","Fraserlands-Park","bzcfc1_lPdPnQpCmLWsnOA","Aug 2017","2017",286
"-ZNknjuUsjIrnxFNqhGsMA","Nelson-Park","qeRsp2O_C7MMcwj8p6BAlw","May 2017","2017",346
"-_9bySEVpMLqSMXjdjRXXA","Mount-Pleasant-Park","ddRhkLaVZ85o7HfpS3LpkA","May 2017","2017",349
"-_IiRJRr_5_30OK7GTf4GA","Eburne-Park","AjGsqDGEPqyJfeJTJZDExA","Jun 2017","2017",312
"-_XwhUPgF-w0pBY4Offvig","Grimmett-Park","MTGm67EjcLXzsXfSuiR79Q","May 2017","2017",98
"-_n_lXZsrlNLlP028BxK5g","Hillcrest-Park","uKr4Bse1WCQHNZzSu7QurA","May 2017","2017",91
"-_oL3tnIvihy1dZJdx7_VA","Woodland-Park","5T7o_ttQD76TiLGj3trwLQ","Apr 2017","2017",178
"-_oL3tnIvihy1dZJdx7_VA","Woodland-Park","YlWXEerWOsToprHL30uWmg","May 2017","2017",178
"-aRKKW0LqpqxHKdI2Pq1Pw","Emery-Barnes-Park","d9WdYVS1nlU_T0pcIBy6cw","Jun 2017","2017",314
"-b3LPqNfV_1CIElIDezwYw","Nelson-Park","4Fzcouk4t0IAOvnNG0D06g","May 2017","2017",314
"-bgAd-Ybblm-RWF3OMiZbg","McCleery-Park","Z_3gINmDZQztzPPIOlj5ww","Jun 2017","2017",270
"-c3DOY9inm7vKjNT8DkOkQ","Emery-Barnes-Park","UgvAeFso382qPmS6W0BOew","Jun 2017","2017",221
